grid_id,yearsdisturbed,land_ha,forestcover
1349,31,216535.13999999998,0.15148802175942436
1350,31,216448.74,0.27646148459907877
1351,31,216535.05,0.24410242129391985
1352,31,216535.13999999998,0.24242439356494289
1353,30,216448.74,0.051897183601068785
1354,31,216535.05,0.04720556787457735
1355,31,113443.11,0.026862803743656183
1390,31,194017.22999999998,0.13068741369001094
1391,31,211007.88,0.21457032789486344
1392,31,193321.16999999998,0.2919200209682158
1393,31,194068.8,0.42016769310677454
1394,31,134815.86,0.24578925654592867
1395,31,187857.36,0.47171470950086813
1396,31,123796.34999999999,0.31180685052507606
1400,31,213843.15,0.23535175197335056
1401,31,214986.33,0.2518058706337282
1402,31,216535.13999999998,0.20327887658326496
1403,31,216535.13999999998,0.2957797057789327
1404,31,109694.97,0.17239441334456812
1405,31,195218.28,0.1276524923792997
1411,31,216448.56,0.1815026628035779
1412,31,216361.44,0.2381169676075367
1413,31,156239.00999999998,0.18165725704483154
1422,31,211910.13,0.4089762957532988
1423,31,216490.05,0.6229670601489536
1424,31,216535.22999999998,0.3214297738063224
1425,31,216448.65,0.09524591629469623
1426,31,216535.05,0.03376552664337713
1427,31,216535.22999999998,0.10743752875686788
1428,31,216448.65,0.0904849718397412
1429,31,216535.05,0.27039313035002877
1430,31,216535.22999999998,0.3758046208000426
1431,31,216448.65,0.30150291997663187
1432,31,216535.05,0.2736754165203278
1433,31,149552.55,0.06816112463478557
1469,31,182866.13999999998,0.11738438838376532
1470,31,215383.13999999998,0.1783426502185826
1471,31,216405,0.29538823040133083
1472,31,216535.31999999998,0.14714906556583934
1473,31,216535.22999999998,0.21144480738769392
1474,31,214619.13,0.34495443160169365
1475,31,216535.31999999998,0.25428978514913875
1476,31,213602.85,0.299540947136239
1480,31,117924.20999999999,0.11137026061060745
1481,31,216535.31999999998,0.16905726973317795
1482,31,216535.22999999998,0.16361499235020555
1483,31,216448.65,0.14349777649340847
1484,31,183223.53,0.1623048633546139
1485,31,216535.22999999998,0.08033510297608386
1486,31,141111.72,0.10715488408758676
1491,31,187107.21,0.16698709793171518
1492,31,216535.31999999998,0.1393030938324519
1493,31,216448.56,0.13438218299997007
1494,31,214823.16,0.11883118188932701
1495,31,216535.31999999998,0.08325076019930606
1499,31,135681.75,0.8465283650896307
1500,31,178655.66999999998,0.778839764783284
1501,31,216535.31999999998,0.8208111729763071
1502,31,216423.36,0.345682878225345
1503,31,216545.76,0.5097503640800909
1504,31,216468.81,0.5580055620946038
1505,31,216535.22999999998,0.37609639780094906
1506,31,216535.13999999998,0.04904557292640816
1507,31,216448.83,0.011496112037196042
1508,31,216535.22999999998,0.1277218492344179
1509,31,216535.13999999998,0.3091723588143707
1510,31,210376.53,0.45318600891458755
1513,31,138846.15,0.23867546921538696
1548,30,150006.33,0.13251460788354733
1549,31,191432.43,0.22830927863162995
1550,31,160277.94,0.3169705076069732
1551,31,216535.22999999998,0.2306330937464541
1552,31,216448.38,0.29730783847862474
1553,31,214376.03999999998,0.2757296944192084
1554,31,197520.38999999998,0.24885324497384803
1555,31,216448.38,0.39510316501329323
1556,31,195185.69999999998,0.15785644132741283
1557,31,216535.22999999998,0.16197114899039755
1558,31,161414.1,0.10183162437482225
1559,31,209881.08,0.10530606188990452
1560,31,213395.22,0.0971553627114984
1561,31,216448.38,0.13302178561003783
1562,31,216535.13999999998,0.11536626341572088
1563,31,214643.97,0.11764858803161346
1564,31,216448.38,0.07924258892582148
1565,31,216535.13999999998,0.16975152393278986
1568,31,111525.39,0.11444586743879577
1569,31,165508.56,0.08041288015556415
1570,31,171582.75,0.09981720190403756
1571,31,216448.28999999998,0.1178516587033328
1572,31,216535.05,0.08088672018687043
1573,31,216164.61,0.07370424788775555
1574,31,216448.28999999998,0.07153029483393009
1575,31,216535.05,0.11626284058862527
1576,31,208980.18,0.12220144513226087
1577,31,201527.91,0.2046544322322402
1578,31,194262.03,0.3920736337409838
1579,31,213318.53999999998,0.5075596804665924
1580,31,216448.28999999998,0.8316119753129028
